periodName,period,value,year,seriesID,region
September,09,4.6,2001,LAURD880000000000003,8
August,08,4.7,2001,LAURD880000000000003,8
July,07,4.5,2001,LAURD880000000000003,8
June,06,4.6,2001,LAURD880000000000003,8
May,05,4.0,2001,LAURD880000000000003,8
April,04,4.1,2001,LAURD880000000000003,8
March,03,4.3,2001,LAURD880000000000003,8
February,02,4.2,2001,LAURD880000000000003,8
January,01,4.4,2001,LAURD880000000000003,8
December,12,3.6,2000,LAURD880000000000003,8
November,11,3.6,2000,LAURD880000000000003,8
October,10,3.5,2000,LAURD880000000000003,8
September,09,3.6,2000,LAURD880000000000003,8
August,08,3.9,2000,LAURD880000000000003,8
July,07,3.9,2000,LAURD880000000000003,8
June,06,4.0,2000,LAURD880000000000003,8
May,05,3.5,2000,LAURD880000000000003,8
April,04,3.6,2000,LAURD880000000000003,8
March,03,4.0,2000,LAURD880000000000003,8
February,02,4.1,2000,LAURD880000000000003,8
January,01,4.3,2000,LAURD880000000000003,8
December,12,3.6,1999,LAURD880000000000003,8
November,11,3.7,1999,LAURD880000000000003,8
October,10,3.7,1999,LAURD880000000000003,8
September,09,3.9,1999,LAURD880000000000003,8
August,08,4.1,1999,LAURD880000000000003,8
July,07,4.3,1999,LAURD880000000000003,8
June,06,4.4,1999,LAURD880000000000003,8
May,05,3.9,1999,LAURD880000000000003,8
April,04,4.1,1999,LAURD880000000000003,8
March,03,4.4,1999,LAURD880000000000003,8
February,02,4.5,1999,LAURD880000000000003,8
January,01,4.7,1999,LAURD880000000000003,8
December,12,3.9,1998,LAURD880000000000003,8
November,11,4.0,1998,LAURD880000000000003,8
October,10,4.0,1998,LAURD880000000000003,8
September,09,4.2,1998,LAURD880000000000003,8
August,08,4.4,1998,LAURD880000000000003,8
July,07,4.5,1998,LAURD880000000000003,8
June,06,4.6,1998,LAURD880000000000003,8
May,05,4.1,1998,LAURD880000000000003,8
April,04,4.2,1998,LAURD880000000000003,8
March,03,4.7,1998,LAURD880000000000003,8
February,02,4.6,1998,LAURD880000000000003,8
January,01,4.8,1998,LAURD880000000000003,8
December,12,4.0,1997,LAURD880000000000003,8
November,11,3.9,1997,LAURD880000000000003,8
October,10,3.9,1997,LAURD880000000000003,8
September,09,4.1,1997,LAURD880000000000003,8
August,08,4.2,1997,LAURD880000000000003,8
July,07,4.3,1997,LAURD880000000000003,8
June,06,4.6,1997,LAURD880000000000003,8
May,05,4.1,1997,LAURD880000000000003,8
April,04,4.3,1997,LAURD880000000000003,8
March,03,4.8,1997,LAURD880000000000003,8
February,02,4.9,1997,LAURD880000000000003,8
January,01,5.3,1997,LAURD880000000000003,8
December,12,4.5,1996,LAURD880000000000003,8
November,11,4.6,1996,LAURD880000000000003,8
October,10,4.6,1996,LAURD880000000000003,8
September,09,4.8,1996,LAURD880000000000003,8
August,08,5.0,1996,LAURD880000000000003,8
July,07,5.2,1996,LAURD880000000000003,8
June,06,5.3,1996,LAURD880000000000003,8
May,05,4.9,1996,LAURD880000000000003,8
April,04,5.0,1996,LAURD880000000000003,8
March,03,5.3,1996,LAURD880000000000003,8
February,02,5.3,1996,LAURD880000000000003,8
January,01,5.6,1996,LAURD880000000000003,8
December,12,4.7,1995,LAURD880000000000003,8
November,11,4.7,1995,LAURD880000000000003,8
October,10,4.6,1995,LAURD880000000000003,8
September,09,4.7,1995,LAURD880000000000003,8
August,08,4.9,1995,LAURD880000000000003,8
July,07,5.0,1995,LAURD880000000000003,8
June,06,5.2,1995,LAURD880000000000003,8
May,05,4.7,1995,LAURD880000000000003,8
April,04,4.8,1995,LAURD880000000000003,8
March,03,5.1,1995,LAURD880000000000003,8
February,02,5.2,1995,LAURD880000000000003,8
January,01,5.5,1995,LAURD880000000000003,8
December,12,4.6,1994,LAURD850000000000003,5
November,11,4.9,1994,LAURD850000000000003,5
October,10,5.1,1994,LAURD850000000000003,5
September,09,5.4,1994,LAURD850000000000003,5
August,08,5.6,1994,LAURD850000000000003,5
July,07,5.8,1994,LAURD850000000000003,5
June,06,5.9,1994,LAURD850000000000003,5
May,05,5.5,1994,LAURD850000000000003,5
April,04,5.7,1994,LAURD850000000000003,5
March,03,6.1,1994,LAURD850000000000003,5
February,02,6.4,1994,LAURD850000000000003,5
January,01,6.6,1994,LAURD850000000000003,5
December,12,5.6,1993,LAURD850000000000003,5
November,11,5.7,1993,LAURD850000000000003,5
October,10,6.0,1993,LAURD850000000000003,5
September,09,6.1,1993,LAURD850000000000003,5
August,08,6.3,1993,LAURD850000000000003,5
July,07,6.6,1993,LAURD850000000000003,5
June,06,6.8,1993,LAURD850000000000003,5
May,05,6.3,1993,LAURD850000000000003,5
April,04,6.3,1993,LAURD850000000000003,5
March,03,6.6,1993,LAURD850000000000003,5
February,02,7.0,1993,LAURD850000000000003,5
January,01,7.2,1993,LAURD850000000000003,5
December,12,5.2,2002,LAURD850000000000003,5
November,11,5.2,2002,LAURD850000000000003,5
October,10,5.0,2002,LAURD850000000000003,5
September,09,5.1,2002,LAURD850000000000003,5
August,08,5.4,2002,LAURD850000000000003,5
July,07,5.5,2002,LAURD850000000000003,5
June,06,5.7,2002,LAURD850000000000003,5
May,05,5.2,2002,LAURD850000000000003,5
April,04,5.3,2002,LAURD850000000000003,5
March,03,5.5,2002,LAURD850000000000003,5
February,02,5.6,2002,LAURD850000000000003,5
January,01,5.8,2002,LAURD850000000000003,5
December,12,5.3,2001,LAURD850000000000003,5
November,11,5.3,2001,LAURD850000000000003,5
October,10,5.1,2001,LAURD850000000000003,5
September,09,4.6,2001,LAURD850000000000003,5
August,08,4.8,2001,LAURD850000000000003,5
July,07,4.5,2001,LAURD850000000000003,5
June,06,4.5,2001,LAURD850000000000003,5
May,05,3.9,2001,LAURD850000000000003,5
April,04,3.9,2001,LAURD850000000000003,5
March,03,4.0,2001,LAURD850000000000003,5
February,02,4.0,2001,LAURD850000000000003,5
January,01,4.0,2001,LAURD850000000000003,5
December,12,3.3,2000,LAURD850000000000003,5
November,11,3.3,2000,LAURD850000000000003,5
October,10,3.3,2000,LAURD850000000000003,5
September,09,3.5,2000,LAURD850000000000003,5
August,08,3.9,2000,LAURD850000000000003,5
July,07,3.8,2000,LAURD850000000000003,5
June,06,3.8,2000,LAURD850000000000003,5
May,05,3.5,2000,LAURD850000000000003,5
April,04,3.1,2000,LAURD850000000000003,5
March,03,3.5,2000,LAURD850000000000003,5
February,02,3.7,2000,LAURD850000000000003,5
January,01,3.8,2000,LAURD850000000000003,5
December,12,3.2,1999,LAURD850000000000003,5
November,11,3.5,1999,LAURD850000000000003,5
October,10,3.6,1999,LAURD850000000000003,5
September,09,3.8,1999,LAURD850000000000003,5
August,08,3.9,1999,LAURD850000000000003,5
July,07,4.0,1999,LAURD850000000000003,5
June,06,3.9,1999,LAURD850000000000003,5
May,05,3.5,1999,LAURD850000000000003,5
April,04,3.6,1999,LAURD850000000000003,5
March,03,3.7,1999,LAURD850000000000003,5
February,02,4.1,1999,LAURD850000000000003,5
January,01,4.0,1999,LAURD850000000000003,5
December,12,3.4,1998,LAURD850000000000003,5
November,11,3.7,1998,LAURD850000000000003,5
October,10,3.9,1998,LAURD850000000000003,5
September,09,4.0,1998,LAURD850000000000003,5
August,08,4.2,1998,LAURD850000000000003,5
July,07,4.3,1998,LAURD850000000000003,5
June,06,4.4,1998,LAURD850000000000003,5
May,05,3.8,1998,LAURD850000000000003,5
April,04,3.6,1998,LAURD850000000000003,5
March,03,4.3,1998,LAURD850000000000003,5
February,02,4.4,1998,LAURD850000000000003,5
January,01,4.6,1998,LAURD850000000000003,5
December,12,3.9,1997,LAURD850000000000003,5
November,11,3.9,1997,LAURD850000000000003,5
October,10,4.0,1997,LAURD850000000000003,5
September,09,4.4,1997,LAURD850000000000003,5
August,08,4.6,1997,LAURD850000000000003,5
July,07,4.7,1997,LAURD850000000000003,5
June,06,4.9,1997,LAURD850000000000003,5
May,05,4.4,1997,LAURD850000000000003,5
April,04,4.4,1997,LAURD850000000000003,5
March,03,4.8,1997,LAURD850000000000003,5
February,02,5.1,1997,LAURD850000000000003,5
January,01,5.3,1997,LAURD850000000000003,5
December,12,4.6,1996,LAURD850000000000003,5
November,11,4.8,1996,LAURD850000000000003,5
October,10,4.7,1996,LAURD850000000000003,5
September,09,4.9,1996,LAURD850000000000003,5
August,08,4.9,1996,LAURD850000000000003,5
July,07,5.3,1996,LAURD850000000000003,5
June,06,5.1,1996,LAURD850000000000003,5
May,05,5.0,1996,LAURD850000000000003,5
April,04,4.8,1996,LAURD850000000000003,5
March,03,5.0,1996,LAURD850000000000003,5
February,02,5.2,1996,LAURD850000000000003,5
January,01,5.6,1996,LAURD850000000000003,5
December,12,4.8,1995,LAURD850000000000003,5
November,11,5.0,1995,LAURD850000000000003,5
October,10,5.0,1995,LAURD850000000000003,5
September,09,5.2,1995,LAURD850000000000003,5
August,08,5.3,1995,LAURD850000000000003,5
July,07,5.5,1995,LAURD850000000000003,5
June,06,5.4,1995,LAURD850000000000003,5
May,05,5.0,1995,LAURD850000000000003,5
April,04,4.9,1995,LAURD850000000000003,5
March,03,4.8,1995,LAURD850000000000003,5
February,02,5.0,1995,LAURD850000000000003,5
January,01,5.4,1995,LAURD850000000000003,5
December,12,3.8,1994,LAURD840000000000003,4
November,11,3.6,1994,LAURD840000000000003,4
October,10,3.5,1994,LAURD840000000000003,4
September,09,3.8,1994,LAURD840000000000003,4
August,08,4.0,1994,LAURD840000000000003,4
July,07,3.9,1994,LAURD840000000000003,4
June,06,4.2,1994,LAURD840000000000003,4
May,05,3.7,1994,LAURD840000000000003,4
April,04,4.3,1994,LAURD840000000000003,4
March,03,5.1,1994,LAURD840000000000003,4
February,02,5.2,1994,LAURD840000000000003,4
January,01,5.5,1994,LAURD840000000000003,4
December,12,4.3,1993,LAURD840000000000003,4
November,11,4.2,1993,LAURD840000000000003,4
October,10,4.2,1993,LAURD840000000000003,4
September,09,4.4,1993,LAURD840000000000003,4
August,08,4.6,1993,LAURD840000000000003,4
July,07,4.8,1993,LAURD840000000000003,4
June,06,5.2,1993,LAURD840000000000003,4
May,05,4.8,1993,LAURD840000000000003,4
April,04,5.0,1993,LAURD840000000000003,4
March,03,5.6,1993,LAURD840000000000003,4
February,02,5.8,1993,LAURD840000000000003,4
January,01,5.8,1993,LAURD840000000000003,4
December,12,4.4,2002,LAURD840000000000003,4
November,11,4.2,2002,LAURD840000000000003,4
October,10,4.0,2002,LAURD840000000000003,4
September,09,4.2,2002,LAURD840000000000003,4
August,08,4.4,2002,LAURD840000000000003,4
July,07,4.7,2002,LAURD840000000000003,4
June,06,4.8,2002,LAURD840000000000003,4
May,05,4.2,2002,LAURD840000000000003,4
April,04,4.6,2002,LAURD840000000000003,4
March,03,5.2,2002,LAURD840000000000003,4
February,02,5.1,2002,LAURD840000000000003,4
January,01,5.2,2002,LAURD840000000000003,4
December,12,4.2,2001,LAURD840000000000003,4
November,11,4.0,2001,LAURD840000000000003,4
October,10,3.7,2001,LAURD840000000000003,4
September,09,3.6,2001,LAURD840000000000003,4
August,08,3.8,2001,LAURD840000000000003,4
July,07,3.8,2001,LAURD840000000000003,4
June,06,3.9,2001,LAURD840000000000003,4
May,05,3.3,2001,LAURD840000000000003,4
April,04,3.7,2001,LAURD840000000000003,4
March,03,4.2,2001,LAURD840000000000003,4
February,02,4.2,2001,LAURD840000000000003,4
January,01,4.3,2001,LAURD840000000000003,4
December,12,3.3,2000,LAURD840000000000003,4
November,11,3.1,2000,LAURD840000000000003,4
October,10,2.9,2000,LAURD840000000000003,4
September,09,3.1,2000,LAURD840000000000003,4
August,08,3.2,2000,LAURD840000000000003,4
July,07,3.1,2000,LAURD840000000000003,4
June,06,3.1,2000,LAURD840000000000003,4
May,05,2.9,2000,LAURD840000000000003,4
April,04,2.9,2000,LAURD840000000000003,4
March,03,3.6,2000,LAURD840000000000003,4
February,02,3.6,2000,LAURD840000000000003,4
January,01,3.6,2000,LAURD840000000000003,4
December,12,2.8,1999,LAURD840000000000003,4
November,11,2.6,1999,LAURD840000000000003,4
October,10,2.3,1999,LAURD840000000000003,4
September,09,2.7,1999,LAURD840000000000003,4
August,08,2.9,1999,LAURD840000000000003,4
July,07,3.2,1999,LAURD840000000000003,4
June,06,3.3,1999,LAURD840000000000003,4
May,05,2.7,1999,LAURD840000000000003,4
April,04,2.9,1999,LAURD840000000000003,4
March,03,3.3,1999,LAURD840000000000003,4
February,02,3.4,1999,LAURD840000000000003,4
January,01,3.5,1999,LAURD840000000000003,4
December,12,2.8,1998,LAURD840000000000003,4
November,11,2.7,1998,LAURD840000000000003,4
October,10,2.7,1998,LAURD840000000000003,4
September,09,2.9,1998,LAURD840000000000003,4
August,08,3.1,1998,LAURD840000000000003,4
July,07,3.2,1998,LAURD840000000000003,4
June,06,3.4,1998,LAURD840000000000003,4
May,05,3.0,1998,LAURD840000000000003,4
April,04,3.1,1998,LAURD840000000000003,4
March,03,3.9,1998,LAURD840000000000003,4
February,02,3.8,1998,LAURD840000000000003,4
January,01,4.0,1998,LAURD840000000000003,4
December,12,3.1,1997,LAURD840000000000003,4
November,11,2.9,1997,LAURD840000000000003,4
October,10,2.9,1997,LAURD840000000000003,4
September,09,3.2,1997,LAURD840000000000003,4
August,08,3.3,1997,LAURD840000000000003,4
July,07,3.3,1997,LAURD840000000000003,4
June,06,3.6,1997,LAURD840000000000003,4
May,05,3.2,1997,LAURD840000000000003,4
April,04,3.5,1997,LAURD840000000000003,4
March,03,4.1,1997,LAURD840000000000003,4
February,02,4.3,1997,LAURD840000000000003,4
January,01,4.6,1997,LAURD840000000000003,4
December,12,3.7,1996,LAURD840000000000003,4
November,11,3.6,1996,LAURD840000000000003,4
October,10,3.3,1996,LAURD840000000000003,4
September,09,3.6,1996,LAURD840000000000003,4
August,08,3.7,1996,LAURD840000000000003,4
July,07,4.1,1996,LAURD840000000000003,4
June,06,4.1,1996,LAURD840000000000003,4
May,05,3.9,1996,LAURD840000000000003,4
April,04,4.1,1996,LAURD840000000000003,4
March,03,4.5,1996,LAURD840000000000003,4
February,02,4.5,1996,LAURD840000000000003,4
January,01,4.7,1996,LAURD840000000000003,4
December,12,3.6,1995,LAURD840000000000003,4
November,11,3.3,1995,LAURD840000000000003,4
October,10,3.2,1995,LAURD840000000000003,4
September,09,3.5,1995,LAURD840000000000003,4
August,08,3.6,1995,LAURD840000000000003,4
July,07,3.9,1995,LAURD840000000000003,4
June,06,4.1,1995,LAURD840000000000003,4
May,05,3.8,1995,LAURD840000000000003,4
April,04,4.1,1995,LAURD840000000000003,4
March,03,4.4,1995,LAURD840000000000003,4
February,02,4.6,1995,LAURD840000000000003,4
January,01,4.9,1995,LAURD840000000000003,4
December,12,5.2,1994,LAURD810000000000003,1
November,11,5.3,1994,LAURD810000000000003,1
October,10,5.2,1994,LAURD810000000000003,1
September,09,5.5,1994,LAURD810000000000003,1
August,08,5.6,1994,LAURD810000000000003,1
July,07,5.9,1994,LAURD810000000000003,1
June,06,5.9,1994,LAURD810000000000003,1
May,05,5.7,1994,LAURD810000000000003,1
April,04,6.0,1994,LAURD810000000000003,1
March,03,6.5,1994,LAURD810000000000003,1
February,02,6.8,1994,LAURD810000000000003,1
January,01,7.1,1994,LAURD810000000000003,1
December,12,5.9,1993,LAURD810000000000003,1
November,11,6.0,1993,LAURD810000000000003,1
October,10,5.9,1993,LAURD810000000000003,1
September,09,6.3,1993,LAURD810000000000003,1
August,08,6.3,1993,LAURD810000000000003,1
July,07,6.7,1993,LAURD810000000000003,1
June,06,6.9,1993,LAURD810000000000003,1
May,05,6.8,1993,LAURD810000000000003,1
April,04,7.0,1993,LAURD810000000000003,1
March,03,7.6,1993,LAURD810000000000003,1
February,02,8.1,1993,LAURD810000000000003,1
January,01,8.4,1993,LAURD810000000000003,1
December,12,4.9,2002,LAURD810000000000003,1
November,11,4.9,2002,LAURD810000000000003,1
October,10,4.6,2002,LAURD810000000000003,1
September,09,4.8,2002,LAURD810000000000003,1
August,08,4.8,2002,LAURD810000000000003,1
July,07,5.0,2002,LAURD810000000000003,1
June,06,4.9,2002,LAURD810000000000003,1
May,05,4.5,2002,LAURD810000000000003,1
April,04,4.6,2002,LAURD810000000000003,1
March,03,4.8,2002,LAURD810000000000003,1
February,02,4.9,2002,LAURD810000000000003,1
January,01,5.0,2002,LAURD810000000000003,1
December,12,3.8,2001,LAURD810000000000003,1
November,11,3.7,2001,LAURD810000000000003,1
October,10,3.5,2001,LAURD810000000000003,1
September,09,3.6,2001,LAURD810000000000003,1
August,08,3.7,2001,LAURD810000000000003,1
July,07,3.8,2001,LAURD810000000000003,1
June,06,3.7,2001,LAURD810000000000003,1
May,05,3.3,2001,LAURD810000000000003,1
April,04,3.3,2001,LAURD810000000000003,1
March,03,3.6,2001,LAURD810000000000003,1
February,02,3.6,2001,LAURD810000000000003,1
January,01,3.7,2001,LAURD810000000000003,1
December,12,2.4,2000,LAURD810000000000003,1
November,11,2.4,2000,LAURD810000000000003,1
October,10,2.2,2000,LAURD810000000000003,1
September,09,2.5,2000,LAURD810000000000003,1
August,08,2.6,2000,LAURD810000000000003,1
July,07,2.9,2000,LAURD810000000000003,1
June,06,2.8,2000,LAURD810000000000003,1
May,05,2.6,2000,LAURD810000000000003,1
April,04,2.7,2000,LAURD810000000000003,1
March,03,3.2,2000,LAURD810000000000003,1
February,02,3.5,2000,LAURD810000000000003,1
January,01,3.7,2000,LAURD810000000000003,1
December,12,2.7,1999,LAURD810000000000003,1
November,11,2.8,1999,LAURD810000000000003,1
October,10,2.7,1999,LAURD810000000000003,1
September,09,3.0,1999,LAURD810000000000003,1
August,08,3.0,1999,LAURD810000000000003,1
July,07,3.3,1999,LAURD810000000000003,1
June,06,3.3,1999,LAURD810000000000003,1
May,05,3.1,1999,LAURD810000000000003,1
April,04,3.2,1999,LAURD810000000000003,1
March,03,3.6,1999,LAURD810000000000003,1
February,02,3.8,1999,LAURD810000000000003,1
January,01,4.0,1999,LAURD810000000000003,1
December,12,2.9,1998,LAURD810000000000003,1
November,11,3.0,1998,LAURD810000000000003,1
October,10,2.9,1998,LAURD810000000000003,1
September,09,3.2,1998,LAURD810000000000003,1
August,08,3.2,1998,LAURD810000000000003,1
July,07,3.5,1998,LAURD810000000000003,1
June,06,3.6,1998,LAURD810000000000003,1
May,05,3.3,1998,LAURD810000000000003,1
April,04,3.4,1998,LAURD810000000000003,1
March,03,4.1,1998,LAURD810000000000003,1
February,02,4.3,1998,LAURD810000000000003,1
January,01,4.5,1998,LAURD810000000000003,1
December,12,3.5,1997,LAURD810000000000003,1
November,11,3.6,1997,LAURD810000000000003,1
October,10,3.5,1997,LAURD810000000000003,1
September,09,3.9,1997,LAURD810000000000003,1
August,08,4.0,1997,LAURD810000000000003,1
July,07,4.4,1997,LAURD810000000000003,1
June,06,4.5,1997,LAURD810000000000003,1
May,05,4.3,1997,LAURD810000000000003,1
April,04,4.5,1997,LAURD810000000000003,1
March,03,5.0,1997,LAURD810000000000003,1
February,02,5.2,1997,LAURD810000000000003,1
January,01,5.5,1997,LAURD810000000000003,1
December,12,4.3,1996,LAURD810000000000003,1
November,11,4.4,1996,LAURD810000000000003,1
October,10,4.1,1996,LAURD810000000000003,1
September,09,4.4,1996,LAURD810000000000003,1
August,08,4.4,1996,LAURD810000000000003,1
July,07,4.8,1996,LAURD810000000000003,1
June,06,4.8,1996,LAURD810000000000003,1
May,05,4.7,1996,LAURD810000000000003,1
April,04,4.8,1996,LAURD810000000000003,1
March,03,5.3,1996,LAURD810000000000003,1
February,02,5.5,1996,LAURD810000000000003,1
January,01,5.8,1996,LAURD810000000000003,1
December,12,4.6,1995,LAURD810000000000003,1
November,11,4.7,1995,LAURD810000000000003,1
October,10,4.6,1995,LAURD810000000000003,1
September,09,5.0,1995,LAURD810000000000003,1
August,08,5.1,1995,LAURD810000000000003,1
July,07,5.4,1995,LAURD810000000000003,1
June,06,5.4,1995,LAURD810000000000003,1
May,05,5.2,1995,LAURD810000000000003,1
April,04,5.4,1995,LAURD810000000000003,1
March,03,5.8,1995,LAURD810000000000003,1
February,02,6.1,1995,LAURD810000000000003,1
January,01,6.4,1995,LAURD810000000000003,1
December,12,5.6,1994,LAURD820000000000003,2
November,11,5.8,1994,LAURD820000000000003,2
October,10,6.0,1994,LAURD820000000000003,2
September,09,6.1,1994,LAURD820000000000003,2
August,08,6.4,1994,LAURD820000000000003,2
July,07,6.9,1994,LAURD820000000000003,2
June,06,6.7,1994,LAURD820000000000003,2
May,05,6.6,1994,LAURD820000000000003,2
April,04,6.9,1994,LAURD820000000000003,2
March,03,7.6,1994,LAURD820000000000003,2
February,02,7.8,1994,LAURD820000000000003,2
January,01,7.9,1994,LAURD820000000000003,2
December,12,6.8,1993,LAURD820000000000003,2
November,11,6.9,1993,LAURD820000000000003,2
October,10,7.1,1993,LAURD820000000000003,2
September,09,7.0,1993,LAURD820000000000003,2
August,08,7.2,1993,LAURD820000000000003,2
July,07,7.6,1993,LAURD820000000000003,2
June,06,7.6,1993,LAURD820000000000003,2
May,05,7.5,1993,LAURD820000000000003,2
April,04,7.5,1993,LAURD820000000000003,2
March,03,8.1,1993,LAURD820000000000003,2
February,02,8.6,1993,LAURD820000000000003,2
January,01,8.8,1993,LAURD820000000000003,2
December,12,5.9,2002,LAURD820000000000003,2
November,11,5.8,2002,LAURD820000000000003,2
October,10,5.5,2002,LAURD820000000000003,2
September,09,5.4,2002,LAURD820000000000003,2
August,08,5.6,2002,LAURD820000000000003,2
July,07,6.0,2002,LAURD820000000000003,2
June,06,5.9,2002,LAURD820000000000003,2
May,05,5.7,2002,LAURD820000000000003,2
April,04,5.8,2002,LAURD820000000000003,2
March,03,6.3,2002,LAURD820000000000003,2
February,02,6.4,2002,LAURD820000000000003,2
January,01,6.5,2002,LAURD820000000000003,2
December,12,5.4,2001,LAURD820000000000003,2
November,11,5.3,2001,LAURD820000000000003,2
October,10,5.0,2001,LAURD820000000000003,2
September,09,4.7,2001,LAURD820000000000003,2
August,08,4.8,2001,LAURD820000000000003,2
July,07,4.6,2001,LAURD820000000000003,2
June,06,4.5,2001,LAURD820000000000003,2
May,05,4.1,2001,LAURD820000000000003,2
April,04,4.0,2001,LAURD820000000000003,2
March,03,4.5,2001,LAURD820000000000003,2
February,02,4.7,2001,LAURD820000000000003,2
January,01,4.7,2001,LAURD820000000000003,2
December,12,3.8,2000,LAURD820000000000003,2
November,11,4.0,2000,LAURD820000000000003,2
October,10,3.9,2000,LAURD820000000000003,2
September,09,4.0,2000,LAURD820000000000003,2
August,08,4.2,2000,LAURD820000000000003,2
July,07,4.4,2000,LAURD820000000000003,2
June,06,4.1,2000,LAURD820000000000003,2
May,05,4.1,2000,LAURD820000000000003,2
April,04,3.9,2000,LAURD820000000000003,2
March,03,4.6,2000,LAURD820000000000003,2
February,02,4.9,2000,LAURD820000000000003,2
January,01,4.9,2000,LAURD820000000000003,2
December,12,4.0,1999,LAURD820000000000003,2
November,11,4.2,1999,LAURD820000000000003,2
October,10,4.3,1999,LAURD820000000000003,2
September,09,4.6,1999,LAURD820000000000003,2
August,08,4.7,1999,LAURD820000000000003,2
July,07,5.2,1999,LAURD820000000000003,2
June,06,5.0,1999,LAURD820000000000003,2
