yr_begin,yr_end,length
1857,1858,18
1860,1861,8
1865,1867,32
1869,1870,18
1873,1879,65
1882,1885,38
1887,1888,13
1890,1891,10
1893,1894,17
1895,1897,18
1899,1900,18
1902,1904,23
1907,1908,13
1910,1912,24
1913,1914,23
1918,1919,7
1920,1921,18
1923,1924,14
1926,1927,13
1929,1933,43
1937,1938,13
1945,1945,8
1948,1949,11
1953,1954,10
1957,1958,8
1960,1961,10
1969,1970,11
1973,1975,16
1980,1980,6
1981,1982,16
1990,1991,8
2001,2001,8
2007,2009,18
