year,region,value,seriesID,period,periodName
2013,3,7.6,LAURD830000000000003,09,September
2013,3,8.0,LAURD830000000000003,08,August
2013,3,8.6,LAURD830000000000003,07,July
2013,3,8.7,LAURD830000000000003,06,June
2013,3,8.0,LAURD830000000000003,05,May
2013,3,7.7,LAURD830000000000003,04,April
2013,3,8.5,LAURD830000000000003,03,March
2013,3,9.0,LAURD830000000000003,02,February
2013,3,9.5,LAURD830000000000003,01,January
2012,3,8.2,LAURD830000000000003,12,December
2012,3,7.5,LAURD830000000000003,11,November
2012,3,7.7,LAURD830000000000003,10,October
2012,3,7.6,LAURD830000000000003,09,September
2012,3,8.3,LAURD830000000000003,08,August
2012,3,8.9,LAURD830000000000003,07,July
2012,3,8.6,LAURD830000000000003,06,June
2012,3,8.0,LAURD830000000000003,05,May
2012,3,7.7,LAURD830000000000003,04,April
2012,3,8.6,LAURD830000000000003,03,March
2012,3,9.0,LAURD830000000000003,02,February
2012,3,9.1,LAURD830000000000003,01,January
2011,3,8.4,LAURD830000000000003,12,December
2011,3,8.2,LAURD830000000000003,11,November
2011,3,8.7,LAURD830000000000003,10,October
2011,3,9.0,LAURD830000000000003,09,September
2011,3,9.5,LAURD830000000000003,08,August
2011,3,9.9,LAURD830000000000003,07,July
2011,3,9.8,LAURD830000000000003,06,June
2011,3,9.1,LAURD830000000000003,05,May
2011,3,8.9,LAURD830000000000003,04,April
2011,3,9.6,LAURD830000000000003,03,March
2011,3,10.0,LAURD830000000000003,02,February
2011,3,10.2,LAURD830000000000003,01,January
2010,3,9.4,LAURD830000000000003,12,December
2010,3,9.5,LAURD830000000000003,11,November
2010,3,9.4,LAURD830000000000003,10,October
2010,3,9.6,LAURD830000000000003,09,September
2010,3,10.2,LAURD830000000000003,08,August
2010,3,10.8,LAURD830000000000003,07,July
2010,3,10.6,LAURD830000000000003,06,June
2010,3,10.4,LAURD830000000000003,05,May
2010,3,10.8,LAURD830000000000003,04,April
2010,3,11.9,LAURD830000000000003,03,March
2010,3,12.2,LAURD830000000000003,02,February
2010,3,12.3,LAURD830000000000003,01,January
2009,3,11.1,LAURD830000000000003,12,December
2009,3,10.6,LAURD830000000000003,11,November
2009,3,10.8,LAURD830000000000003,10,October
2009,3,10.7,LAURD830000000000003,09,September
2009,3,11.0,LAURD830000000000003,08,August
2009,3,11.4,LAURD830000000000003,07,July
2009,3,11.5,LAURD830000000000003,06,June
2009,3,10.8,LAURD830000000000003,05,May
2009,3,10.2,LAURD830000000000003,04,April
2009,3,10.7,LAURD830000000000003,03,March
2009,3,10.4,LAURD830000000000003,02,February
2009,3,9.7,LAURD830000000000003,01,January
2008,3,7.8,LAURD830000000000003,12,December
2008,3,6.8,LAURD830000000000003,11,November
2008,3,6.5,LAURD830000000000003,10,October
2008,3,6.3,LAURD830000000000003,09,September
2008,3,6.7,LAURD830000000000003,08,August
2008,3,6.9,LAURD830000000000003,07,July
2008,3,6.5,LAURD830000000000003,06,June
2008,3,6.0,LAURD830000000000003,05,May
2008,3,5.4,LAURD830000000000003,04,April
2008,3,6.1,LAURD830000000000003,03,March
2008,3,6.1,LAURD830000000000003,02,February
2008,3,6.2,LAURD830000000000003,01,January
2007,3,5.6,LAURD830000000000003,12,December
2007,3,5.1,LAURD830000000000003,11,November
2007,3,5.1,LAURD830000000000003,10,October
2007,3,5.2,LAURD830000000000003,09,September
2007,3,5.4,LAURD830000000000003,08,August
2007,3,5.8,LAURD830000000000003,07,July
2007,3,5.7,LAURD830000000000003,06,June
2007,3,5.1,LAURD830000000000003,05,May
2007,3,5.3,LAURD830000000000003,04,April
2007,3,5.5,LAURD830000000000003,03,March
2007,3,5.9,LAURD830000000000003,02,February
2007,3,6.1,LAURD830000000000003,01,January
2006,3,5.1,LAURD830000000000003,12,December
2006,3,4.9,LAURD830000000000003,11,November
2006,3,4.6,LAURD830000000000003,10,October
2006,3,5.0,LAURD830000000000003,09,September
2006,3,5.4,LAURD830000000000003,08,August
2006,3,5.8,LAURD830000000000003,07,July
2006,3,5.5,LAURD830000000000003,06,June
2006,3,5.2,LAURD830000000000003,05,May
2006,3,5.4,LAURD830000000000003,04,April
