year,region,value,seriesID,period,periodName
1995,4,3.6,LAURD840000000000003,12,December
1995,4,3.3,LAURD840000000000003,11,November
1995,4,3.2,LAURD840000000000003,10,October
1995,4,3.5,LAURD840000000000003,09,September
1995,4,3.6,LAURD840000000000003,08,August
1995,4,3.9,LAURD840000000000003,07,July
1995,4,4.1,LAURD840000000000003,06,June
1995,4,3.8,LAURD840000000000003,05,May
1995,4,4.1,LAURD840000000000003,04,April
1995,4,4.4,LAURD840000000000003,03,March
1995,4,4.6,LAURD840000000000003,02,February
1995,4,4.9,LAURD840000000000003,01,January
1994,4,3.8,LAURD840000000000003,12,December
1994,4,3.6,LAURD840000000000003,11,November
1994,4,3.5,LAURD840000000000003,10,October
1994,4,3.8,LAURD840000000000003,09,September
1994,4,4.0,LAURD840000000000003,08,August
1994,4,3.9,LAURD840000000000003,07,July
1994,4,4.2,LAURD840000000000003,06,June
1994,4,3.7,LAURD840000000000003,05,May
1994,4,4.3,LAURD840000000000003,04,April
1994,4,5.1,LAURD840000000000003,03,March
1994,4,5.2,LAURD840000000000003,02,February
1994,4,5.5,LAURD840000000000003,01,January
1993,4,4.3,LAURD840000000000003,12,December
1993,4,4.2,LAURD840000000000003,11,November
1993,4,4.2,LAURD840000000000003,10,October
1993,4,4.4,LAURD840000000000003,09,September
1993,4,4.6,LAURD840000000000003,08,August
1993,4,4.8,LAURD840000000000003,07,July
1993,4,5.2,LAURD840000000000003,06,June
1993,4,4.8,LAURD840000000000003,05,May
1993,4,5.0,LAURD840000000000003,04,April
1993,4,5.6,LAURD840000000000003,03,March
1993,4,5.8,LAURD840000000000003,02,February
1993,4,5.8,LAURD840000000000003,01,January
1992,4,4.7,LAURD840000000000003,12,December
1992,4,4.4,LAURD840000000000003,11,November
1992,4,4.2,LAURD840000000000003,10,October
1992,4,4.6,LAURD840000000000003,09,September
1992,4,4.7,LAURD840000000000003,08,August
1992,4,4.8,LAURD840000000000003,07,July
1992,4,5.3,LAURD840000000000003,06,June
1992,4,4.8,LAURD840000000000003,05,May
1992,4,4.8,LAURD840000000000003,04,April
1992,4,5.4,LAURD840000000000003,03,March
1992,4,5.7,LAURD840000000000003,02,February
1992,4,5.8,LAURD840000000000003,01,January
1991,4,4.7,LAURD840000000000003,12,December
1991,4,4.5,LAURD840000000000003,11,November
1991,4,4.3,LAURD840000000000003,10,October
1991,4,4.6,LAURD840000000000003,09,September
1991,4,4.8,LAURD840000000000003,08,August
1991,4,4.8,LAURD840000000000003,07,July
1991,4,5.3,LAURD840000000000003,06,June
1991,4,5.0,LAURD840000000000003,05,May
1991,4,5.0,LAURD840000000000003,04,April
1991,4,5.9,LAURD840000000000003,03,March
1991,4,6.1,LAURD840000000000003,02,February
1991,4,5.9,LAURD840000000000003,01,January
1990,4,4.9,LAURD840000000000003,12,December
1990,4,4.7,LAURD840000000000003,11,November
1990,4,4.3,LAURD840000000000003,10,October
1990,4,4.6,LAURD840000000000003,09,September
1990,4,4.6,LAURD840000000000003,08,August
1990,4,4.4,LAURD840000000000003,07,July
1990,4,4.4,LAURD840000000000003,06,June
1990,4,4.1,LAURD840000000000003,05,May
